word	1	2	3	4	5	6	7	8	9
откровенный	0.621224	0.474286	0.709388	0.6	0.691429	0.560816	0.453061	0.513469	0.626122
пакет	0.399184	0.673469	0.675102	0.637551	0.693061	0.701224	0.591837	0.537959	0.590204
парусиновый	0.430204	0.438367	0.526531	0.604898	0.681633	0.743673	0.748571	0.851429	0.849796
платформа	0.407347	0.523265	0.626122	0.644082	0.627755	0.604898	0.65551	0.606531	0.644082
подписчик	0.673469	0.63102	0.603265	0.691429	0.647347	0.746939	0.740408	0.691429	0.665306
развод	0.562449	0.676735	0.47102	0.742041	0.505306	0.48898	0.560816	0.456327	0.650612
раздача	0.511837	0.606531	0.590204	0.608163	0.707755	0.586939	0.727347	0.701224	0.70449
сообщение	0.557551	0.528163	0.583673	0.629388	0.666939	0.688163	0.697959	0.691429	0.70449
страница	0.534694	0.430204	0.697959	0.454694	0.493878	0.389388	0.635918	0.493878	0.508571
стрелка	0.640816	0.570612	0.333878	0.6	0.472653	0.761633	0.653878	0.732245	0.614694
талон	0.65551	0.446531	0.505306	0.676735	0.595102	0.701224	0.467755	0.644082	0.675102
товарищ	0.660408	0.606531	0.637551	0.482449	0.570612	0.513469	0.484082	0.521633	0.603265
трико	0.485714	0.441633	0.560816	0.619592	0.49551	0.515102	0.614694	0.652245	0.751837
тюфяк	0.381224	0.591837	0.454694	0.64898	0.722449	0.810612	0.812245	0.794286	0.792653
убитый	0.485714	0.601633	0.691429	0.681633	0.715918	0.671837	0.608163	0.719184	0.652245
ударник	1.0	0.283265	0.693061	0.56898	0.451429	0.490612	0.547755	0.635918	0.683265
узел	0.537959	0.469388	0.580408	0.516735	0.431837	0.371429	0.560816	0.474286	0.47102
фрукт	0.523265	0.364898	0.6	0.479184	0.583673	0.583673	0.720816	0.683265	0.606531
хлопья	0.457959	0.737143	0.62449	0.632653	0.684898	0.818776	0.681633	0.753469	0.693061
шляпка	0.498776	0.325714	0.567347	0.564082	0.392653	0.613061	0.534694	0.662041	0.681633
артист	0.650612	0.536327	0.559184	0.724082	0.724082	0.603265	0.666939	0.72898	0.714286
бархатный	0.526531	0.493878	0.404082	0.49551	0.764898	0.693061	0.555918	0.635918	0.683265
беззаботный	0.453061	0.686531	0.493878	0.565714	0.564082	0.635918	0.776327	0.817143	0.71102
безысходный	0.407347	0.598367	0.670204	0.663673	0.771429	0.78449	0.751837	0.800816	0.79102
беспомощный	0.511837	0.467755	0.49551	0.570612	0.54449	0.542857	0.577143	0.738776	0.676735
благодарность	0.640816	0.467755	0.443265	0.484082	0.64898	0.617959	0.642449	0.640816	0.707755
бритый	0.454694	0.539592	0.604898	0.559184	0.702857	0.766531	0.724082	0.725714	0.748571
бровь	0.578776	0.52	0.671837	0.68	0.795918	0.743673	0.776327	0.812245	0.776327
брошюра	0.474286	0.663673	0.534694	0.777959	0.614694	0.707755	0.613061	0.761633	0.740408
бумага	0.565714	0.6	0.54449	0.572245	0.559184	0.668571	0.644082	0.593469	0.502041
бурьян	0.541224	0.635918	0.586939	0.657143	0.653878	0.675102	0.740408	0.76	0.688163
вена	0.240816	0.64898	0.62449	0.657143	0.524898	0.709388	0.681633	0.639184	0.577143
вечер	0.662041	0.666939	0.702857	0.761633	0.683265	0.714286	0.722449	0.732245	0.743673
владение	0.484082	0.694694	0.546122	0.666939	0.668571	0.660408	0.515102	0.688163	0.614694
возмущение	0.742041	0.559184	0.637551	0.717551	0.663673	0.758367	0.751837	0.748571	0.748571
выгодный	0.533061	0.580408	0.611429	0.653878	0.573878	0.663673	0.64898	0.715918	0.712653
выстрел	0.671837	0.603265	0.688163	0.684898	0.650612	0.665306	0.725714	0.817143	0.771429
география	0.598367	0.671837	0.684898	0.730612	0.662041	0.763265	0.694694	0.818776	0.694694
гипотеза	0.585306	0.598367	0.57551	0.521633	0.614694	0.71102	0.621224	0.758367	0.541224
гнетущий	0.291429	0.41551	0.516735	0.62449	0.621224	0.727347	0.658776	0.79102	0.838367
голубоглазый	0.381224	0.537959	0.608163	0.738776	0.755102	0.732245	0.800816	0.831837	0.849796
гость	0.54449	0.482449	0.537959	0.588571	0.426939	0.658776	0.640816	0.658776	0.580408
граница	0.438367	0.345306	0.498776	0.590204	0.533061	0.670204	0.588571	0.573878	0.515102
гроб	0.642449	0.490612	0.505306	0.582041	0.6	0.684898	0.627755	0.644082	0.621224
девица	0.451429	0.578776	0.642449	0.485714	0.531429	0.459592	0.647347	0.446531	0.578776
демонстрация	0.55102	0.722449	0.513469	0.694694	0.673469	0.660408	0.676735	0.65551	0.660408
должный	0.555918	0.652245	0.555918	0.668571	0.554286	0.572245	0.665306	0.582041	0.64898
драматург	0.724082	0.505306	0.453061	0.753469	0.727347	0.637551	0.601633	0.660408	0.665306
дрожь	0.639184	0.681633	0.689796	0.678367	0.683265	0.76	0.782857	0.826939	0.745306
жизнерадостный	0.781224	0.564082	0.609796	0.764898	0.670204	0.595102	0.578776	0.660408	0.72898
жилистый	0.616327	0.719184	0.513469	0.616327	0.766531	0.764898	0.683265	0.857959	0.786122
заметный	0.502041	0.675102	0.707755	0.670204	0.537959	0.768163	0.771429	0.681633	0.724082
знакомый	0.542857	0.529796	0.657143	0.565714	0.573878	0.640816	0.64898	0.717551	0.639184
идеализм	0.263673	0.402449	0.55102	0.758367	0.72898	0.627755	0.722449	0.73551	0.709388
искусство	0.467755	0.407347	0.586939	0.456327	0.474286	0.572245	0.578776	0.64898	0.567347
каморка	0.529796	0.526531	0.63102	0.781224	0.689796	0.742041	0.688163	0.774694	0.831837
карета	0.564082	0.673469	0.709388	0.724082	0.805714	0.730612	0.817143	0.820408	0.812245
кипа	0.395918	0.479184	0.570612	0.668571	0.722449	0.647347	0.740408	0.666939	0.595102
коляска	0.652245	0.709388	0.781224	0.774694	0.650612	0.800816	0.779592	0.738776	0.657143
композитор	0.609796	0.399184	0.534694	0.555918	0.498776	0.515102	0.662041	0.72898	0.639184
концерт	0.332245	0.412245	0.660408	0.601633	0.572245	0.585306	0.662041	0.604898	0.675102
конный	0.658776	0.578776	0.629388	0.712653	0.601633	0.681633	0.590204	0.707755	0.658776
коренастый	0.297959	0.446531	0.652245	0.619592	0.78449	0.792653	0.755102	0.877551	0.78449
кофе	0.484082	0.666939	0.678367	0.676735	0.658776	0.802449	0.748571	0.644082	0.706122
кухня	0.531429	0.588571	0.660408	0.660408	0.730612	0.665306	0.697959	0.572245	0.668571
лавка	0.399184	0.552653	0.526531	0.570612	0.637551	0.644082	0.629388	0.621224	0.644082
ленточка	0.528163	0.572245	0.446531	0.604898	0.513469	0.647347	0.777959	0.776327	0.609796
лето	0.706122	0.629388	0.580408	0.678367	0.725714	0.68	0.658776	0.72898	0.604898
луна	0.435102	0.6	0.506939	0.451429	0.64898	0.738776	0.699592	0.683265	0.582041
мармелад	0.485714	0.426939	0.523265	0.644082	0.627755	0.719184	0.650612	0.673469	0.65551
морозный	0.490612	0.642449	0.570612	0.771429	0.681633	0.688163	0.724082	0.885714	0.813878
мох	0.454694	0.436735	0.554286	0.603265	0.658776	0.590204	0.675102	0.740408	0.683265
муж	0.644082	0.730612	0.516735	0.611429	0.577143	0.678367	0.725714	0.604898	0.634286
небольшой	0.564082	0.653878	0.555918	0.614694	0.573878	0.549388	0.570612	0.676735	0.665306
невнятный	0.428571	0.492245	0.684898	0.740408	0.742041	0.766531	0.696327	0.781224	0.671837
ненависть	0.639184	0.675102	0.670204	0.603265	0.707755	0.763265	0.70449	0.80898	0.774694
необыкновенный	0.593469	0.593469	0.609796	0.693061	0.653878	0.614694	0.622857	0.758367	0.715918
неодолимый	0.578776	0.591837	0.57551	0.6	0.701224	0.596735	0.603265	0.80898	0.733878
неприличный	0.48898	0.64898	0.696327	0.699592	0.662041	0.611429	0.528163	0.71102	0.742041
обеспечение	0.338776	0.588571	0.637551	0.647347	0.673469	0.621224	0.647347	0.531429	0.653878
обоснование	0.65551	0.529796	0.627755	0.629388	0.585306	0.681633	0.737143	0.521633	0.658776
обычай	0.596735	0.546122	0.588571	0.591837	0.699592	0.57551	0.755102	0.73551	0.717551
огненный	0.386122	0.613061	0.392653	0.373061	0.564082	0.611429	0.588571	0.640816	0.580408
ожидание	0.63102	0.46449	0.549388	0.647347	0.583673	0.668571	0.658776	0.658776	0.686531
омерзение	0.466122	0.420408	0.639184	0.777959	0.702857	0.689796	0.614694	0.771429	0.715918
очерк	0.595102	0.469388	0.555918	0.657143	0.699592	0.771429	0.629388	0.843265	0.647347
пальто	0.528163	0.513469	0.484082	0.477551	0.606531	0.686531	0.675102	0.71102	0.691429
песнопение	0.769796	0.428571	0.6	0.627755	0.786122	0.818776	0.603265	0.823673	0.776327
пламень	0.727347	0.405714	0.387755	0.586939	0.572245	0.601633	0.71102	0.737143	0.733878
платье	0.480816	0.598367	0.691429	0.497143	0.678367	0.725714	0.702857	0.776327	0.763265
плеск	0.70449	0.461224	0.557551	0.645714	0.774694	0.758367	0.835102	0.79102	0.813878
подоконник	0.516735	0.626122	0.541224	0.593469	0.590204	0.640816	0.63102	0.766531	0.694694
пол	0.52	0.56898	0.534694	0.639184	0.668571	0.614694	0.466122	0.379592	0.54449
последствие	0.604898	0.505306	0.524898	0.591837	0.516735	0.537959	0.549388	0.614694	0.554286
похороны	0.351837	0.694694	0.614694	0.745306	0.691429	0.621224	0.709388	0.675102	0.613061
предисловие	0.363265	0.379592	0.800816	0.675102	0.753469	0.738776	0.601633	0.720816	0.769796
приданое	0.44	0.337143	0.485714	0.593469	0.557551	0.606531	0.609796	0.564082	0.640816
приказание	0.622857	0.675102	0.758367	0.822041	0.748571	0.794286	0.797551	0.89551	0.849796
прихожая	0.498776	0.629388	0.675102	0.626122	0.76	0.751837	0.702857	0.800816	0.776327
прозрачный	0.639184	0.63102	0.611429	0.577143	0.740408	0.560816	0.694694	0.459592	0.585306
психический	0.479184	0.555918	0.650612	0.701224	0.616327	0.678367	0.699592	0.709388	0.758367
пуля	0.469388	0.425306	0.696327	0.650612	0.629388	0.658776	0.555918	0.666939	0.707755
радость	0.436735	0.542857	0.617959	0.671837	0.54449	0.637551	0.564082	0.644082	0.697959
разный	0.608163	0.428571	0.606531	0.645714	0.666939	0.724082	0.745306	0.662041	0.730612
религия	0.580408	0.534694	0.640816	0.709388	0.627755	0.660408	0.666939	0.650612	0.70449
роза	0.387755	0.586939	0.560816	0.573878	0.627755	0.595102	0.634286	0.753469	0.676735
рокот	0.44	0.570612	0.608163	0.683265	0.782857	0.738776	0.817143	0.913469	0.836735
ситцевый	0.635918	0.617959	0.642449	0.555918	0.673469	0.750204	0.751837	0.779592	0.719184
сизый	0.444898	0.475918	0.511837	0.57551	0.722449	0.740408	0.706122	0.79102	0.603265
скамейка	0.48898	0.676735	0.693061	0.668571	0.706122	0.786122	0.714286	0.818776	0.810612
скверный	0.533061	0.497143	0.689796	0.613061	0.626122	0.671837	0.691429	0.715918	0.715918
собственность	0.456327	0.461224	0.613061	0.647347	0.748571	0.562449	0.410612	0.737143	0.761633
солдат	0.48898	0.351837	0.557551	0.614694	0.688163	0.621224	0.521633	0.668571	0.719184
солома	0.596735	0.484082	0.593469	0.640816	0.632653	0.666939	0.732245	0.802449	0.722449
сострадание	0.386122	0.52	0.578776	0.724082	0.609796	0.675102	0.555918	0.702857	0.748571
статный	0.689796	0.54449	0.697959	0.725714	0.856327	0.836735	0.885714	0.856327	0.851429
